group,id,course,semester,grade
1,93,Yoga and Meditation,2,12.5
1,93,Yoga and Meditation,2,11.5
1,93,Yoga and Meditation,2,15.5
1,93,Yoga and Meditation,2,12
1,93,Yoga and Meditation,2,14
1,93,Yoga and Meditation,2,13
1,106,Architecture and Sculpture,1,16.3
1,106,Architecture and Sculpture,1,16.2
1,106,Architecture and Sculpture,1,12.7
1,106,Architecture and Sculpture,1,15.4
1,106,Architecture and Sculpture,1,12.6
1,106,Architecture and Sculpture,1,18.2
1,106,Architecture and Sculpture,1,13.8
1,106,Architecture and Sculpture,1,16.1
1,106,Architecture and Sculpture,1,20
1,106,Astrology and Astrology,1,4.75
1,106,Astrology and Astrology,1,11.5
1,106,Astrology and Astrology,1,11
1,106,Astrology and Astrology,1,10.75
1,106,Astrology and Astrology,1,4
1,106,Astrology and Astrology,1,11
1,106,Astrology and Astrology,1,8.5
1,106,Astrology and Astrology,1,16.25
1,106,Ayurveda and Traditional Medicine,2,11.5
1,106,Ayurveda and Traditional Medicine,2,17.25
1,106,Ayurveda and Traditional Medicine,2,14.75
1,106,Ayurveda and Traditional Medicine,2,13
1,106,Ayurveda and Traditional Medicine,2,16.5
1,106,History and Civilization of India,2,5.5
1,106,History and Civilization of India,2,12.75
1,106,History and Civilization of India,2,10.5
1,106,Martial Arts and Self-Defense,2,6.7
1,106,Martial Arts and Self-Defense,2,11.6
1,106,Martial Arts and Self-Defense,2,5.2
1,106,Martial Arts and Self-Defense,2,5.9
1,106,Martial Arts and Self-Defense,2,10.2
1,106,Martial Arts and Self-Defense,2,7.6
1,106,Music and Dance,2,11
1,106,Music and Dance,2,12.1
1,106,Music and Dance,2,12.9
1,106,Politics and Diplomacy,2,10.25
1,106,Politics and Diplomacy,2,12.75
1,106,Politics and Diplomacy,2,8.25
1,106,Politics and Diplomacy,2,10.75
1,106,Politics and Diplomacy,2,12.75
1,106,Sanskrit Language and Literature,2,14.3
1,106,Sanskrit Language and Literature,2,14.9
1,106,Sanskrit Language and Literature,2,14.5
1,106,Sanskrit Language and Literature,2,15.6
1,106,Sanskrit Language and Literature,2,14.6
1,106,Sanskrit Language and Literature,2,15.2
1,106,Vedic Philosophy and Spirituality,1,7
1,106,Vedic Philosophy and Spirituality,1,8
1,106,Vedic Philosophy and Spirituality,1,7
1,106,Vedic Philosophy and Spirituality,1,6.5
1,106,Vedic Philosophy and Spirituality,1,4.5
1,106,Vedic Philosophy and Spirituality,1,10
1,106,Vedic Philosophy and Spirituality,1,11.5
1,106,Yoga and Meditation,2,12.5
1,106,Yoga and Meditation,2,13
1,106,Yoga and Meditation,2,12.5
1,106,Yoga and Meditation,2,11.5
1,106,Yoga and Meditation,2,10
1,113,Architecture and Sculpture,1,12.4
1,113,Architecture and Sculpture,1,11.2
1,113,Architecture and Sculpture,1,9.1
1,113,Architecture and Sculpture,1,15.3
1,113,Architecture and Sculpture,1,11
1,113,Architecture and Sculpture,1,12.1
1,113,Architecture and Sculpture,1,12.8
1,113,Architecture and Sculpture,1,15.4
1,113,Architecture and Sculpture,1,18.5
1,113,Astrology and Astrology,1,8.75
1,113,Astrology and Astrology,1,9.5
1,113,Astrology and Astrology,1,16.25
1,113,Astrology and Astrology,1,6
1,113,Astrology and Astrology,1,5.75
1,113,Astrology and Astrology,1,15
1,113,Astrology and Astrology,1,10.25
1,113,Ayurveda and Traditional Medicine,2,16.75
1,113,Ayurveda and Traditional Medicine,2,10
1,113,Ayurveda and Traditional Medicine,2,12
1,113,Ayurveda and Traditional Medicine,2,12.75
1,113,Ayurveda and Traditional Medicine,2,16.5
1,113,History and Civilization of India,2,7.75
1,113,History and Civilization of India,2,8.25
1,113,History and Civilization of India,2,4.5
1,113,Martial Arts and Self-Defense,2,8
1,113,Martial Arts and Self-Defense,2,7.7
1,113,Martial Arts and Self-Defense,2,12.8
1,113,Martial Arts and Self-Defense,2,12.7
1,113,Martial Arts and Self-Defense,2,2.6
1,113,Martial Arts and Self-Defense,2,14.8
1,113,Music and Dance,2,11.9
1,113,Music and Dance,2,9.7
1,113,Music and Dance,2,11.4
1,113,Politics and Diplomacy,2,5.75
1,113,Politics and Diplomacy,2,7.25
1,113,Politics and Diplomacy,2,13.5
1,113,Politics and Diplomacy,2,9.75
1,113,Politics and Diplomacy,2,7.5
1,113,Sanskrit Language and Literature,2,12.1
1,113,Sanskrit Language and Literature,2,16.3
1,113,Sanskrit Language and Literature,2,13.8
1,113,Sanskrit Language and Literature,2,16.9
1,113,Sanskrit Language and Literature,2,16.4
1,113,Sanskrit Language and Literature,2,10.7
1,113,Vedic Philosophy and Spirituality,1,4.5
1,113,Vedic Philosophy and Spirituality,1,8.5
1,113,Vedic Philosophy and Spirituality,1,7.5
1,113,Vedic Philosophy and Spirituality,1,6.5
1,113,Vedic Philosophy and Spirituality,1,7.5
1,113,Vedic Philosophy and Spirituality,1,8.5
1,113,Vedic Philosophy and Spirituality,1,6
1,113,Yoga and Meditation,2,12.5
1,113,Yoga and Meditation,2,14.5
1,113,Yoga and Meditation,2,15
1,113,Yoga and Meditation,2,12
1,113,Yoga and Meditation,2,13
1,113,Yoga and Meditation,2,12
1,121,Architecture and Sculpture,1,13
1,121,Architecture and Sculpture,1,15.7
1,121,Architecture and Sculpture,1,10.4
1,121,Architecture and Sculpture,1,13.6
1,121,Architecture and Sculpture,1,15.9
1,121,Architecture and Sculpture,1,13.7
1,121,Architecture and Sculpture,1,18
1,121,Architecture and Sculpture,1,17.3
1,121,Architecture and Sculpture,1,12.6
1,121,Astrology and Astrology,1,8.5
1,121,Astrology and Astrology,1,6.25
1,121,Astrology and Astrology,1,8
1,121,Astrology and Astrology,1,13.75
1,121,Astrology and Astrology,1,15.25
1,121,Astrology and Astrology,1,8.25
1,121,Astrology and Astrology,1,16.5
1,121,Astrology and Astrology,1,17.25
1,121,Ayurveda and Traditional Medicine,2,11.75
1,121,Ayurveda and Traditional Medicine,2,14.25
1,121,Ayurveda and Traditional Medicine,2,11
1,121,Ayurveda and Traditional Medicine,2,11
1,121,Ayurveda and Traditional Medicine,2,17
1,121,History and Civilization of India,2,8.25
1,121,History and Civilization of India,2,9.25
1,121,History and Civilization of India,2,10.5
1,121,Martial Arts and Self-Defense,2,4.8
1,121,Martial Arts and Self-Defense,2,5.4
1,121,Martial Arts and Self-Defense,2,7.8
1,121,Martial Arts and Self-Defense,2,10.7
1,121,Martial Arts and Self-Defense,2,8.7
1,121,Martial Arts and Self-Defense,2,8.7
1,121,Music and Dance,2,14.1
1,121,Music and Dance,2,12.8
1,121,Music and Dance,2,14.7
1,121,Politics and Diplomacy,2,5
1,121,Politics and Diplomacy,2,9
1,121,Politics and Diplomacy,2,11.5
1,121,Politics and Diplomacy,2,10.75
1,121,Politics and Diplomacy,2,10.25
1,121,Sanskrit Language and Literature,2,12.6
1,121,Sanskrit Language and Literature,2,13.9
1,121,Sanskrit Language and Literature,2,14.7
1,121,Sanskrit Language and Literature,2,14.3
1,121,Sanskrit Language and Literature,2,12.8
1,121,Sanskrit Language and Literature,2,14
1,121,Vedic Philosophy and Spirituality,1,5.5
1,121,Vedic Philosophy and Spirituality,1,9.5
1,121,Vedic Philosophy and Spirituality,1,10.5
1,121,Vedic Philosophy and Spirituality,1,6
1,121,Vedic Philosophy and Spirituality,1,8
1,121,Vedic Philosophy and Spirituality,1,7.5
1,121,Vedic Philosophy and Spirituality,1,9.5
1,121,Yoga and Meditation,2,11.5
1,121,Yoga and Meditation,2,11
1,121,Yoga and Meditation,2,10
1,121,Yoga and Meditation,2,11
1,121,Yoga and Meditation,2,10
1,121,Yoga and Meditation,2,12
1,127,Architecture and Sculpture,1,20
1,127,Architecture and Sculpture,1,16.7
1,127,Architecture and Sculpture,1,17.7
1,127,Architecture and Sculpture,1,16.6
1,127,Architecture and Sculpture,1,16
1,127,Architecture and Sculpture,1,15.1
1,127,Architecture and Sculpture,1,13.6
1,127,Architecture and Sculpture,1,14.3
1,127,Architecture and Sculpture,1,11.1
1,127,Astrology and Astrology,1,13.5
1,127,Astrology and Astrology,1,10.5
1,127,Astrology and Astrology,1,10.25
1,127,Astrology and Astrology,1,7.5
1,127,Astrology and Astrology,1,10.75
1,127,Astrology and Astrology,1,13
1,127,Astrology and Astrology,1,8.5
1,127,Astrology and Astrology,1,12
1,127,Ayurveda and Traditional Medicine,2,17.5
1,127,Ayurveda and Traditional Medicine,2,6.75
1,127,Ayurveda and Traditional Medicine,2,15.25
1,127,Ayurveda and Traditional Medicine,2,12.5
1,127,Ayurveda and Traditional Medicine,2,12.5
1,127,History and Civilization of India,2,9
1,127,History and Civilization of India,2,8.25
1,127,Martial Arts and Self-Defense,2,18.1
1,127,Martial Arts and Self-Defense,2,8.3
1,127,Martial Arts and Self-Defense,2,6
1,127,Martial Arts and Self-Defense,2,4.3
1,127,Martial Arts and Self-Defense,2,10.2
1,127,Martial Arts and Self-Defense,2,2.5
1,127,Music and Dance,2,11.5
1,127,Music and Dance,2,13.6
1,127,Music and Dance,2,7.8
1,127,Politics and Diplomacy,2,12.25
1,127,Politics and Diplomacy,2,8.5
1,127,Politics and Diplomacy,2,8
1,127,Politics and Diplomacy,2,10
1,127,Politics and Diplomacy,2,6.5
1,127,Sanskrit Language and Literature,2,17
1,127,Sanskrit Language and Literature,2,16.7
1,127,Sanskrit Language and Literature,2,14.1
1,127,Sanskrit Language and Literature,2,13
1,127,Vedic Philosophy and Spirituality,1,7.5
1,127,Vedic Philosophy and Spirituality,1,6.5
1,127,Vedic Philosophy and Spirituality,1,7
1,127,Vedic Philosophy and Spirituality,1,10
1,127,Vedic Philosophy and Spirituality,1,6.5
1,127,Vedic Philosophy and Spirituality,1,6
1,127,Vedic Philosophy and Spirituality,1,5
1,127,Yoga and Meditation,2,13
1,127,Yoga and Meditation,2,13
1,127,Yoga and Meditation,2,13
1,127,Yoga and Meditation,2,12
1,127,Yoga and Meditation,2,11
1,127,Yoga and Meditation,2,10.5
1,136,Architecture and Sculpture,1,8.6
1,136,Architecture and Sculpture,1,16.3
1,136,Architecture and Sculpture,1,15.5
1,136,Architecture and Sculpture,1,19.2
1,136,Architecture and Sculpture,1,17.2
1,136,Architecture and Sculpture,1,16.7
1,136,Architecture and Sculpture,1,13.2
1,136,Architecture and Sculpture,1,11.7
1,136,Astrology and Astrology,1,15.75
1,136,Astrology and Astrology,1,10
1,136,Astrology and Astrology,1,18
1,136,Astrology and Astrology,1,9.75
1,136,Astrology and Astrology,1,10.5
1,136,Astrology and Astrology,1,10
1,136,Astrology and Astrology,1,5.25
1,136,Astrology and Astrology,1,11.25
1,136,Ayurveda and Traditional Medicine,2,15.75
1,136,Ayurveda and Traditional Medicine,2,10.25
1,136,Ayurveda and Traditional Medicine,2,15.5
1,136,Ayurveda and Traditional Medicine,2,10.5
1,136,Ayurveda and Traditional Medicine,2,9.5
1,136,History and Civilization of India,2,8
1,136,History and Civilization of India,2,11.25
1,136,History and Civilization of India,2,6.5
1,136,Martial Arts and Self-Defense,2,7.7
1,136,Martial Arts and Self-Defense,2,6.7
1,136,Martial Arts and Self-Defense,2,7.1
1,136,Martial Arts and Self-Defense,2,6.6
1,136,Martial Arts and Self-Defense,2,9.5
1,136,Martial Arts and Self-Defense,2,12.2
1,136,Music and Dance,2,13.5
1,136,Music and Dance,2,14.5
1,136,Politics and Diplomacy,2,12.5
1,136,Politics and Diplomacy,2,8
1,136,Politics and Diplomacy,2,9.75
1,136,Politics and Diplomacy,2,11
1,136,Politics and Diplomacy,2,7
1,136,Sanskrit Language and Literature,2,15.9
1,136,Sanskrit Language and Literature,2,13
1,136,Sanskrit Language and Literature,2,16.5
1,136,Sanskrit Language and Literature,2,11.4
1,136,Sanskrit Language and Literature,2,14
1,136,Sanskrit Language and Literature,2,17
1,136,Vedic Philosophy and Spirituality,1,7
1,136,Vedic Philosophy and Spirituality,1,6.5
1,136,Vedic Philosophy and Spirituality,1,8.5
1,136,Vedic Philosophy and Spirituality,1,6
1,136,Vedic Philosophy and Spirituality,1,6.5
1,136,Vedic Philosophy and Spirituality,1,6.5
1,136,Yoga and Meditation,2,13
1,136,Yoga and Meditation,2,13
1,136,Yoga and Meditation,2,12
1,136,Yoga and Meditation,2,12
1,136,Yoga and Meditation,2,10
1,136,Yoga and Meditation,2,11
1,147,Architecture and Sculpture,1,13.4
1,147,Architecture and Sculpture,1,15
1,147,Architecture and Sculpture,1,17.8
1,147,Architecture and Sculpture,1,11.3
1,147,Architecture and Sculpture,1,13
1,147,Architecture and Sculpture,1,11.4
1,147,Architecture and Sculpture,1,17.1
1,147,Architecture and Sculpture,1,15.3
1,147,Architecture and Sculpture,1,12
1,147,Astrology and Astrology,1,11.25
1,147,Astrology and Astrology,1,8
1,147,Astrology and Astrology,1,8.25
1,147,Astrology and Astrology,1,11.75
1,147,Astrology and Astrology,1,16.5
1,147,Astrology and Astrology,1,14.25
1,147,Astrology and Astrology,1,7.75
1,147,Ayurveda and Traditional Medicine,2,20
1,147,Ayurveda and Traditional Medicine,2,14.25
1,147,Ayurveda and Traditional Medicine,2,13.5
1,147,Ayurveda and Traditional Medicine,2,13
1,147,Ayurveda and Traditional Medicine,2,15.5
1,147,History and Civilization of India,2,10.5
1,147,History and Civilization of India,2,9.25
1,147,History and Civilization of India,2,10
1,147,Martial Arts and Self-Defense,2,9.4
1,147,Martial Arts and Self-Defense,2,11.7
1,147,Martial Arts and Self-Defense,2,8
1,147,Martial Arts and Self-Defense,2,5.3
1,147,Martial Arts and Self-Defense,2,14.2
1,147,Martial Arts and Self-Defense,2,12.5
1,147,Music and Dance,2,12.4
1,147,Music and Dance,2,13.6
1,147,Music and Dance,2,12.8
1,147,Politics and Diplomacy,2,10
1,147,Politics and Diplomacy,2,13
1,147,Politics and Diplomacy,2,3.5
1,147,Politics and Diplomacy,2,7.25
1,147,Politics and Diplomacy,2,10.25
1,147,Sanskrit Language and Literature,2,15.3
1,147,Sanskrit Language and Literature,2,11
1,147,Sanskrit Language and Literature,2,15.2
1,147,Sanskrit Language and Literature,2,17.6
1,147,Sanskrit Language and Literature,2,11.3
1,147,Sanskrit Language and Literature,2,13.5
1,147,Vedic Philosophy and Spirituality,1,7
1,147,Vedic Philosophy and Spirituality,1,8.5
1,147,Vedic Philosophy and Spirituality,1,6.5
1,147,Vedic Philosophy and Spirituality,1,10.5
1,147,Vedic Philosophy and Spirituality,1,7
1,147,Vedic Philosophy and Spirituality,1,3
1,147,Vedic Philosophy and Spirituality,1,9.5
1,147,Yoga and Meditation,2,12
1,147,Yoga and Meditation,2,13.5
1,147,Yoga and Meditation,2,11.5
1,147,Yoga and Meditation,2,12.5
1,147,Yoga and Meditation,2,11.5
1,147,Yoga and Meditation,2,13.5
1,155,Architecture and Sculpture,1,13.8
1,155,Architecture and Sculpture,1,11.9
1,155,Architecture and Sculpture,1,14.2
1,155,Architecture and Sculpture,1,12.9
1,155,Architecture and Sculpture,1,16.4
1,155,Architecture and Sculpture,1,14.2
1,155,Architecture and Sculpture,1,12.5
1,155,Architecture and Sculpture,1,10.3
1,155,Architecture and Sculpture,1,20
1,155,Astrology and Astrology,1,11.5
1,155,Astrology and Astrology,1,14.25
1,155,Astrology and Astrology,1,8.5
1,155,Astrology and Astrology,1,9.75
1,155,Astrology and Astrology,1,13.75
1,155,Astrology and Astrology,1,15
1,155,Astrology and Astrology,1,6
1,155,Astrology and Astrology,1,5.75
1,155,Ayurveda and Traditional Medicine,2,16.25
1,155,Ayurveda and Traditional Medicine,2,10.25
1,155,Ayurveda and Traditional Medicine,2,8.5
1,155,Ayurveda and Traditional Medicine,2,13.25
1,155,History and Civilization of India,2,8.25
1,155,History and Civilization of India,2,8.25
1,155,History and Civilization of India,2,9.25
1,155,Martial Arts and Self-Defense,2,10.2
1,155,Martial Arts and Self-Defense,2,5.1
1,155,Martial Arts and Self-Defense,2,13.3
1,155,Martial Arts and Self-Defense,2,0
1,155,Martial Arts and Self-Defense,2,6.9
1,155,Martial Arts and Self-Defense,2,11.5
1,155,Music and Dance,2,11.2
1,155,Music and Dance,2,12.4
1,155,Music and Dance,2,12.9
1,155,Politics and Diplomacy,2,4.5
1,155,Politics and Diplomacy,2,15
1,155,Politics and Diplomacy,2,14.5
1,155,Politics and Diplomacy,2,5.25
1,155,Sanskrit Language and Literature,2,15.5
1,155,Sanskrit Language and Literature,2,13.2
1,155,Sanskrit Language and Literature,2,14.6
1,155,Sanskrit Language and Literature,2,14.4
1,155,Sanskrit Language and Literature,2,14.3
1,155,Sanskrit Language and Literature,2,12.4
1,155,Vedic Philosophy and Spirituality,1,8.5
1,155,Vedic Philosophy and Spirituality,1,8.5
1,155,Vedic Philosophy and Spirituality,1,11
1,155,Vedic Philosophy and Spirituality,1,10
1,155,Vedic Philosophy and Spirituality,1,9
1,155,Vedic Philosophy and Spirituality,1,9
1,155,Vedic Philosophy and Spirituality,1,9.5
1,155,Yoga and Meditation,2,10.5
1,155,Yoga and Meditation,2,12.5
1,155,Yoga and Meditation,2,12.5
1,155,Yoga and Meditation,2,12
1,155,Yoga and Meditation,2,12.5
1,155,Yoga and Meditation,2,10.5
1,163,Architecture and Sculpture,1,12.4
1,163,Architecture and Sculpture,1,13.7
1,163,Architecture and Sculpture,1,17.4
1,163,Architecture and Sculpture,1,13.4
1,163,Architecture and Sculpture,1,18.3
1,163,Architecture and Sculpture,1,14.4
1,163,Architecture and Sculpture,1,15
1,163,Architecture and Sculpture,1,8.2
1,163,Astrology and Astrology,1,8.5
1,163,Astrology and Astrology,1,13.25
1,163,Astrology and Astrology,1,6.25
1,163,Astrology and Astrology,1,10
1,163,Astrology and Astrology,1,12.5
1,163,Astrology and Astrology,1,11
1,163,Astrology and Astrology,1,15.75
1,163,Astrology and Astrology,1,11
1,163,Ayurveda and Traditional Medicine,2,12.75
1,163,Ayurveda and Traditional Medicine,2,10.5
1,163,Ayurveda and Traditional Medicine,2,12.75
1,163,Ayurveda and Traditional Medicine,2,17
1,163,Ayurveda and Traditional Medicine,2,8.5
1,163,History and Civilization of India,2,6
1,163,History and Civilization of India,2,10.25
1,163,History and Civilization of India,2,11.5
1,163,Martial Arts and Self-Defense,2,8.7
1,163,Martial Arts and Self-Defense,2,5.5
1,163,Martial Arts and Self-Defense,2,9.8
1,163,Martial Arts and Self-Defense,2,9.7
1,163,Martial Arts and Self-Defense,2,3.2
1,163,Martial Arts and Self-Defense,2,5.5
1,163,Music and Dance,2,12.3
1,163,Music and Dance,2,14.6
1,163,Music and Dance,2,11.5
1,163,Politics and Diplomacy,2,8.25
1,163,Politics and Diplomacy,2,8.5
1,163,Politics and Diplomacy,2,7.75
1,163,Politics and Diplomacy,2,13.75
1,163,Politics and Diplomacy,2,8
1,163,Sanskrit Language and Literature,2,16.1
1,163,Sanskrit Language and Literature,2,14.8
1,163,Sanskrit Language and Literature,2,12
1,163,Sanskrit Language and Literature,2,12.6
1,163,Sanskrit Language and Literature,2,18.2
1,163,Sanskrit Language and Literature,2,13.6
1,163,Vedic Philosophy and Spirituality,1,6
1,163,Vedic Philosophy and Spirituality,1,9
1,163,Vedic Philosophy and Spirituality,1,10
1,163,Vedic Philosophy and Spirituality,1,9.5
1,163,Vedic Philosophy and Spirituality,1,4
1,163,Vedic Philosophy and Spirituality,1,6.5
1,163,Vedic Philosophy and Spirituality,1,11
1,163,Yoga and Meditation,2,11
1,163,Yoga and Meditation,2,11
1,163,Yoga and Meditation,2,11.5
1,163,Yoga and Meditation,2,13.5
1,163,Yoga and Meditation,2,10.5
1,163,Yoga and Meditation,2,11
1,171,Architecture and Sculpture,1,16.7
1,171,Architecture and Sculpture,1,20
1,171,Architecture and Sculpture,1,17.2
1,171,Architecture and Sculpture,1,14.7
1,171,Architecture and Sculpture,1,13
1,171,Architecture and Sculpture,1,16.6
1,171,Architecture and Sculpture,1,7.9
1,171,Architecture and Sculpture,1,13.5
1,171,Architecture and Sculpture,1,17.4
1,171,Astrology and Astrology,1,13
1,171,Astrology and Astrology,1,13
1,171,Astrology and Astrology,1,7
1,171,Astrology and Astrology,1,9.75
1,171,Astrology and Astrology,1,10.75
1,171,Astrology and Astrology,1,7.25
1,171,Astrology and Astrology,1,9.5
1,171,Ayurveda and Traditional Medicine,2,9.25
1,171,Ayurveda and Traditional Medicine,2,13.25
1,171,Ayurveda and Traditional Medicine,2,17.25
1,171,Ayurveda and Traditional Medicine,2,14
1,171,Ayurveda and Traditional Medicine,2,10.25
1,171,History and Civilization of India,2,7
1,171,History and Civilization of India,2,10
1,171,History and Civilization of India,2,8.5
1,171,Martial Arts and Self-Defense,2,4.5
1,171,Martial Arts and Self-Defense,2,8.7
1,171,Martial Arts and Self-Defense,2,6.9
1,171,Martial Arts and Self-Defense,2,13
1,171,Martial Arts and Self-Defense,2,6.6
1,171,Martial Arts and Self-Defense,2,1.5
1,171,Music and Dance,2,12.9
1,171,Music and Dance,2,10.6
1,171,Politics and Diplomacy,2,12.25
1,171,Politics and Diplomacy,2,10.5
1,171,Politics and Diplomacy,2,9.5
1,171,Politics and Diplomacy,2,6.25
1,171,Politics and Diplomacy,2,9.75
1,171,Sanskrit Language and Literature,2,13
1,171,Sanskrit Language and Literature,2,13.9
1,171,Sanskrit Language and Literature,2,13.6
1,171,Sanskrit Language and Literature,2,14.9
1,171,Sanskrit Language and Literature,2,14.9
1,171,Sanskrit Language and Literature,2,15.8
1,171,Vedic Philosophy and Spirituality,1,7
1,171,Vedic Philosophy and Spirituality,1,6
1,171,Vedic Philosophy and Spirituality,1,7.5
1,171,Vedic Philosophy and Spirituality,1,9
1,171,Vedic Philosophy and Spirituality,1,9.5
1,171,Vedic Philosophy and Spirituality,1,9
1,171,Vedic Philosophy and Spirituality,1,8.5
1,171,Yoga and Meditation,2,12.5
1,171,Yoga and Meditation,2,11.5
1,171,Yoga and Meditation,2,12
1,171,Yoga and Meditation,2,11
1,171,Yoga and Meditation,2,11.5
1,171,Yoga and Meditation,2,11.5
1,179,Architecture and Sculpture,1,18
1,179,Architecture and Sculpture,1,18.2
1,179,Architecture and Sculpture,1,12.9
1,179,Architecture and Sculpture,1,14.4
1,179,Architecture and Sculpture,1,14.1
1,179,Architecture and Sculpture,1,17.3
1,179,Architecture and Sculpture,1,13
1,179,Architecture and Sculpture,1,14.2
1,179,Astrology and Astrology,1,1.75
1,179,Astrology and Astrology,1,13.25
1,179,Astrology and Astrology,1,8
1,179,Astrology and Astrology,1,10.75
1,179,Astrology and Astrology,1,9.75
1,179,Astrology and Astrology,1,9.75
1,179,Astrology and Astrology,1,11
1,179,Astrology and Astrology,1,7.75
1,179,Ayurveda and Traditional Medicine,2,10
1,179,Ayurveda and Traditional Medicine,2,14.25
1,179,Ayurveda and Traditional Medicine,2,14.75
1,179,Ayurveda and Traditional Medicine,2,15.5
1,179,Ayurveda and Traditional Medicine,2,19.25
1,179,History and Civilization of India,2,6.5
1,179,History and Civilization of India,2,6.5
1,179,Martial Arts and Self-Defense,2,7.9
1,179,Martial Arts and Self-Defense,2,4.1
1,179,Martial Arts and Self-Defense,2,12.3
1,179,Martial Arts and Self-Defense,2,8.7
1,179,Martial Arts and Self-Defense,2,11.1
1,179,Music and Dance,2,14.3
1,179,Music and Dance,2,12
